LearningArea,Subject,Pathway,Sequence,Level,AchStd
English,English,,,Year 10,"Receptive modes (listening, reading and viewing)
By the end of Year 10, students evaluate how text structures can be used in innovative ways by different authors. They explain how the choice of language features, images and vocabulary contributes to the development of individual style.
They develop and justify their own interpretations of texts. They evaluate other interpretations, analysing the evidence used to support them. They listen for ways features within texts can be manipulated to achieve particular effects.
Productive modes (speaking, writing and creating)
Students show how the selection of language features can achieve precision and stylistic effect. They explain different viewpoints, attitudes and perspectives through the development of cohesive and logical arguments. They develop their own style by experimenting with language features, stylistic devices, text structures and images.
Students create a wide range of texts to articulate complex ideas. They make presentations and contribute actively to class and group discussions, building on others' ideas, solving problems, justifying opinions and developing and expanding arguments. They demonstrate understanding of grammar, vary vocabulary choices for impact, and accurately use spelling and punctuation when creating and editing texts."
Mathematics,Mathematics,,,Foundation Year,"By the end of the Foundation year, students make connections between number names, numerals and quantities up to 10. They compare objects using mass, length and capacity.&nbsp;Students connect events and the days of the week. They explain the order and duration of events. They use appropriate language to describe location.
Students count to and from 20 and order small collections. They group objects based on common characteristics and sort shapes and objects. Students answer simple questions to collect information and make simple inferences."
Mathematics,Mathematics,,,Year 1,"By the end of Year 1, students describe number sequences resulting from skip counting by 2s, 5s and 10s. They identify representations of one half. They recognise Australian coins according to their value.&nbsp;Students explain time durations. They describe two-dimensional shapes and three-dimensional objects. Students describe data displays.
Students count to and from 100 and locate numbers on a number line. They carry out simple additions and subtractions using counting strategies. They partition numbers using place value. They continue simple patterns involving numbers and objects. Students order objects based on lengths and capacities using informal units. They tell time to the half-hour. They use the language of direction to move from place to place. Students classify outcomes of simple familiar events. They collect data by asking questions, draw simple data displays and make simple inferences."
Mathematics,Mathematics,,,Year 2,"By the end of Year 2, students recognise increasing and decreasing number sequences involving 2s, 3s and 5s. They represent multiplication and division by grouping into sets. They associate collections of Australian coins with their value.&nbsp;Students identify the missing element in a number sequence. Students recognise the features of three-dimensional objects. They interpret simple maps of familiar locations. They explain the effects of one-step transformations. Students make sense of collected information.
Students count to and from 1000. They perform simple addition and subtraction calculations using a range of strategies. They divide collections and shapes into halves, quarters and eighths. Students order shapes and objects using informal units. They tell time to the quarter-hour and use a calendar to identify the date and the months included in seasons. They draw two-dimensional shapes. They describe outcomes for everyday events. Students collect, organise and represent data to make simple inferences."
Mathematics,Mathematics,,,Year 3,"By the end of Year 3, students recognise the connection between addition and subtraction and solve problems using efficient strategies for multiplication. They model and represent unit fractions. They represent money values in various ways. Students identify symmetry in the environment. They match positions on maps with given information. Students recognise angles in real situations. They interpret and compare data displays.
Students count to and from 10 000. They classify numbers as either odd or even. They recall addition and multiplication facts for single-digit numbers. Students correctly count out change from financial transactions. They continue number patterns involving addition and subtraction. Students use metric units for length, mass and capacity. They tell time to the nearest minute. Students make models of three-dimensional objects. Students conduct chance experiments and list possible outcomes. They conduct simple data investigations for categorical variables."
Mathematics,Mathematics,,,Year 4,"By the end of Year 4, students choose appropriate strategies for calculations involving multiplication and division. They recognise common equivalent fractions in familiar contexts and make connections between fraction and decimal notations up to two decimal places. Students solve simple purchasing problems. They identify and explain strategies for finding unknown quantities in number sentences. They describe number patterns resulting from multiplication. Students compare areas of regular and irregular shapes using informal units. They solve problems involving time duration. They interpret information contained in maps. Students identify dependent and independent events. They describe different methods for data collection and representation, and evaluate their effectiveness.
Students use the properties of odd and even numbers. They recall multiplication facts to 10 x 10 and related division facts. Students locate familiar fractions on a number line. They continue number sequences involving multiples of single digit numbers. Students use scaled instruments to measure temperatures, lengths, shapes and objects. They convert between units of time. Students create symmetrical shapes and patterns. They classify angles in relation to a right angle. Students list the probabilities of everyday events. They construct data displays from given or collected data."
Mathematics,Mathematics,,,Year 5,"By the end of Year 5, students solve simple problems involving the four operations using a range of strategies. They check the reasonableness of answers using estimation and rounding. Students identify and describe factors and multiples. They identify and explain strategies for finding unknown quantities in number sentences involving the four operations. They explain plans for simple budgets. Students connect three-dimensional objects with their two-dimensional representations. They describe transformations of two-dimensional shapes and identify line and rotational symmetry.&nbsp;Students interpret different data sets.
Students order decimals and unit fractions and locate them on number lines. They add and subtract fractions with the same denominator. Students continue patterns by adding and subtracting fractions and decimals. They use appropriate units of measurement for length, area, volume, capacity and mass, and calculate perimeter and area of rectangles. They convert between 12- and 24-hour time. Students use a grid reference system to locate landmarks. They measure and construct different angles. Students list outcomes of chance experiments with equally likely outcomes and assign probabilities between 0 and 1. Students pose questions to gather data, and construct data displays appropriate for the data."
Mathematics,Mathematics,,,Year 6,"By the end of Year 6, students recognise the properties of prime, composite, square and triangular numbers. They describe the use of integers in everyday contexts. They solve problems involving all four operations with whole numbers. Students connect fractions, decimals and percentages as different representations of the same number. They solve problems involving the addition and subtraction of related fractions. Students make connections between the powers of 10 and the multiplication and division of decimals. They describe rules used in sequences involving whole numbers, fractions and decimals.&nbsp;Students connect decimal representations to the metric system and choose appropriate units of measurement to perform a calculation. They make connections between capacity and volume. They solve problems involving length and area. They interpret timetables. Students describe combinations of transformations. They solve problems using the properties of angles. Students compare observed and expected frequencies. They interpret and compare a variety of data displays including those displays for two categorical variables. They interpret secondary data displayed in the media.
Students locate fractions and integers on a number line. They calculate a simple fraction of a quantity. They add, subtract and multiply decimals and divide decimals where the result is rational. Students calculate common percentage discounts on sale items. They write correct number sentences using brackets and order of operations. Students locate an ordered pair in any one of the four quadrants on the Cartesian plane. They construct simple prisms and pyramids. Students describe probabilities using simple fractions, decimals and percentages."
Mathematics,Mathematics,,,Year 7,"By the end of Year 7, students solve problems involving the comparison, addition and subtraction of integers. They make the connections between whole numbers and index notation and the relationship between perfect squares and square roots. They solve problems involving percentages and all four operations with fractions and decimals. They compare the cost of items to make financial decisions. Students represent numbers using variables. They connect the laws and properties for numbers to algebra. They interpret simple linear representations and model authentic information. Students describe different views of three-dimensional objects. They represent transformations in the Cartesian plane. They solve simple numerical problems involving angles formed by a transversal crossing two lines. Students identify issues involving the collection of continuous data. They describe the relationship between the median and mean in data displays.
Students use fractions, decimals and percentages, and their equivalences. They express one quantity as a fraction or percentage of another. Students solve simple linear equations and evaluate algebraic expressions after numerical substitution. They assign ordered pairs to given points on the Cartesian plane. Students use formulas for the area and perimeter of rectangles and calculate volumes of rectangular prisms. Students classify triangles and quadrilaterals. They name the types of angles formed by a transversal crossing parallel line. Students determine the sample space for simple experiments with equally likely outcomes and assign probabilities to those outcomes. They calculate mean, mode, median and range for data sets. They construct stem-and-leaf plots and dot-plots."
Mathematics,Mathematics,,,Year 8,"By the end of Year 8, students solve everyday problems involving rates, ratios and percentages. They describe index laws and apply them to whole numbers. They describe rational and irrational numbers. Students solve problems involving profit and loss. They make connections between expanding and factorising algebraic expressions. Students solve problems relating to the volume of prisms. They make sense of time duration in real applications. They identify conditions for the congruence of triangles and deduce the properties of quadrilaterals. Students model authentic situations with two-way tables and Venn diagrams. They choose appropriate language to describe events and experiments. They explain issues related to the collection of data and the effect of outliers on means and medians in that data.
Students use efficient mental and written strategies to carry out the four operations with integers. They simplify a variety of algebraic expressions. They solve linear equations and graph linear relationships on the Cartesian plane. Students convert between units of measurement for area and volume. They perform calculations to determine perimeter and area of parallelograms, rhombuses and kites. They name the features of circles and calculate the areas and circumferences of circles. Students determine the probabilities of complementary events and calculate the sum of probabilities."
Mathematics,Mathematics,,,Year 9,"By the end of Year 9, students solve problems involving simple interest. They interpret ratio and scale factors in similar figures. Students explain similarity of triangles. They recognise the connections between similarity and the trigonometric ratios. Students compare techniques for collecting data from primary and secondary sources. They make sense of the position of the mean and median in skewed, symmetric and bi-modal displays to describe and interpret data.
Students apply the index laws to numbers and express numbers in scientific notation. They expand binomial expressions. They find the distance between two points on the Cartesian plane and the gradient and midpoint of a line segment. They sketch linear and non-linear relations. Students calculate areas of shapes and the volume and surface area of right prisms and cylinders. They use Pythagoras&rsquo; Theorem and trigonometry to find unknown sides of right-angled triangles. Students calculate relative frequencies to estimate probabilities, list outcomes for two-step experiments and assign probabilities for those outcomes. They construct histograms and back-to-back stem-and-leaf plots."
Mathematics,Mathematics,,,Year 10,"By the end of Year 10, students recognise the connection between simple and compound interest. They solve problems involving linear equations and inequalities. They make the connections between algebraic and graphical representations of relations. Students solve surface area and volume problems relating to composite solids. They recognise the relationships between parallel and perpendicular lines. Students apply deductive reasoning to proofs and numerical exercises involving plane shapes. They compare data sets by referring to the shapes of the various data displays. They describe bivariate data where the independent variable is time. Students describe statistical relationships between two continuous variables. They evaluate statistical reports.
Students expand binomial expressions and factorise monic quadratic expressions. They find unknown values after substitution into formulas. They perform the four operations with simple algebraic fractions. Students solve simple quadratic equations and pairs of simultaneous equations. They use triangle and angle properties to prove congruence and similarity. Students use trigonometry to calculate unknown angles in right-angled triangles. Students list outcomes for multi-step chance experiments and assign probabilities for these experiments. They calculate quartiles and inter-quartile ranges."
Mathematics,Mathematics,,,Year 10A,There are no achievement standards for Year 10A in the Australian Curriculum: Mathematics. Please refer to the Year 10 Achievement Standards.
Science,Science,,,Foundation Year,"By the end of the Foundation year, students describe the properties and behaviour of familiar objects. They suggest how the environment affects them and other living things.
Students share and reflect on observations, and ask and respond to questions about familiar objects and events."
Science,Science,,,Year 1,"By the end of Year 1, students describe objects and events that they encounter in their everyday lives, and the effects of interacting with materials and objects. They describe changes in their local environment and how different places meet the needs of living things.
Students respond to questions, make predictions, and participate in guided investigations of everyday phenomena. They follow instructions to record and sort their observations and share them with others."
Science,Science,,,Year 2,"By the end of Year 2, students describe changes to objects, materials and living things. They identify that certain materials and resources have different uses and describe examples of where science is used in people&rsquo;s daily lives.
Students pose and respond to questions about their experiences and predict outcomes of investigations. They use informal measurements to make and compare observations. They record and represent observations and communicate ideas in a variety of ways."
Science,Science,,,Year 3,"By the end of Year 3, students use their understanding of the movement of Earth, materials and the behaviour of heat to suggest explanations for everyday observations. They group living things based on observable features and distinguish them from non-living things. They describe how they can use science investigations to respond to questions.
Students use their experiences to identify questions and make predictions about scientific investigations. They follow procedures to collect and record observations and suggest possible reasons for their findings, based on patterns in their data. They describe how safety and fairness were considered and they use diagrams and other representations to communicate their ideas."
Science,Science,,,Year 4,"By the end of Year 4, students apply the observable properties of materials to explain how objects and materials can be used. They describe how contact and non-contact forces affect interactions between objects. They discuss how natural processes and human activity cause changes to Earth&rsquo;s surface. They describe relationships that assist the survival of living things and sequence key stages in the life cycle of a plant or animal. They identify when science is used to understand the effect of their actions.
Students follow instructions to identify investigable questions about familiar contexts and make predictions based on prior knowledge. They describe ways to conduct investigations and safely use equipment to make and record observations with accuracy. They use provided tables and column graphs to organise data and identify patterns. Students suggest explanations for observations and compare their findings with their predictions. They suggest reasons why a test was fair or not. They use formal and informal ways to communicate their observations and findings."
Science,Science,,,Year 5,"By the end of Year 5, students classify substances according to their observable properties and behaviours. They explain everyday phenomena associated with the transfer of light. They describe the key features of our solar system. They analyse how the form of living things enables them to function in their environments. Students discuss how scientific developments have affected people&rsquo;s lives, help us solve problems and how science knowledge develops from many people&rsquo;s contributions.  Students follow instructions to pose questions for investigation and predict the effect of changing variables when planning an investigation. They use equipment in ways that are safe and improve the accuracy of their observations. Students construct tables and graphs to organise data and identify patterns in the data. They compare patterns in their data with predictions when suggesting explanations. They describe ways to improve the fairness of their investigations, and communicate their ideas and findings using multimodal texts."
Science,Science,,,Year 6,"By the end of Year 6, students compare and classify different types of observable changes to materials. They analyse requirements for the transfer of electricity and describe how energy can be transformed from one form to another when generating electricity. They explain how natural events cause rapid change to Earth&rsquo;s surface. They describe and predict the effect of environmental changes on individual living things. Students explain how scientific knowledge helps us to solve problems and inform decisions and identify historical and cultural contributions.
Students follow procedures to develop investigable questions and design investigations into simple cause-and-effect relationships. They identify variables to be changed and measured and describe potential safety risks when planning methods. They collect, organise and interpret their data, identifying where improvements to their methods or research could improve the data. They describe and analyse relationships in data using appropriate representations and construct multimodal texts to communicate ideas, methods and findings."
Science,Science,,,Year 7,"By the end of Year 7, students describe techniques to separate pure substances from mixtures. They represent and predict the effects of unbalanced forces, including Earth&rsquo;s gravity, on motion. They explain how the relative positions of Earth, the sun and moon affect phenomena on Earth. They analyse how the sustainable use of resources depends on the way they are formed and cycle through Earth systems. They predict the effect of human and environmental changes on interactions between organisms and classify and organise diverse organisms based on observable differences. Students describe situations where scientific knowledge from different science disciplines and diverse cultures has been used to solve a real-world problem. They explain possible implications of the solution for different groups in society.
Students identify questions that can be investigated scientifically. They plan fair experimental methods, identifying variables to be changed and measured. They select equipment that improves fairness and accuracy and describe how they considered safety. Students draw on evidence to support their conclusions. They summarise data from different sources, describe trends and refer to the quality of their data when suggesting improvements to their methods. They communicate their ideas, methods and findings using scientific language and appropriate representations."
Science,Science,,,Year 8,"By the end of Year 8, students compare physical and chemical changes and use the particle model to explain and predict the properties and behaviours of substances. They identify different forms of energy and describe how energy transfers and transformations cause change in simple systems. They compare processes of rock formation, including the timescales involved. They analyse the relationship between structure and function at cell, organ and body system levels. Students examine the different science knowledge used in occupations. They explain how evidence has led to an improved understanding of a scientific idea and describe situations in which scientists collaborated to generate solutions to contemporary problems. They reflect on implications of these solutions for different groups in society.
Students identify and construct questions and problems that they can investigate scientifically. They consider safety and ethics when planning investigations, including designing field or experimental methods. They identify variables to be changed, measured and controlled. Students construct representations of their data to reveal and analyse patterns and trends, and use these when justifying their conclusions. They explain how modifications to methods could improve the quality of their data and apply their own scientific knowledge and investigation findings to evaluate claims made by others. They use appropriate language and representations to communicate science ideas, methods and findings in a range of text types."
Science,Science,,,Year 9,"By the end of Year 9, students explain chemical processes and natural radioactivity in terms of atoms and energy transfers and describe examples of important chemical reactions. They describe models of energy transfer and apply these to explain phenomena. They explain global features and events in terms of geological processes and timescales. They analyse how biological systems function and respond to external changes with reference to interdependencies, energy transfers and flows of matter. They describe social and technological factors that have influenced scientific developments and predict how future applications of science and technology may affect people&rsquo;s lives.
Students design questions that can be investigated using a range of inquiry skills. They design methods that include the control and accurate measurement of variables and systematic collection of data and describe how they considered ethics and safety. They analyse trends in data, identify relationships between variables and reveal inconsistencies in results. They analyse their methods and the quality of their data, and explain specific actions to improve the quality of their evidence. They evaluate others&rsquo; methods and explanations from a scientific perspective and use appropriate language and representations when communicating their findings and ideas to specific audiences."
Science,Science,,,Year 10,"By the end of Year 10, students analyse how the periodic table organises elements and use it to make predictions about the properties of elements. They explain how chemical reactions are used to produce particular products and how different factors influence the rate of reactions. They explain the concept of energy conservation and represent energy transfer and transformation within systems. They apply relationships between force, mass and acceleration to predict changes in the motion of objects. Students describe and analyse interactions and cycles within and between Earth&rsquo;s spheres. They evaluate the evidence for scientific theories that explain the origin of the universe and the diversity of life on Earth. They explain the processes that underpin heredity and evolution. Students analyse how the models and theories they use have developed over time and discuss the factors that prompted their review.
Students develop questions and hypotheses and independently design and improve appropriate methods of investigation, including field work and laboratory experimentation. They explain how they have considered reliability, safety, fairness and ethical actions in their methods and identify where digital technologies can be used to enhance the quality of data. When analysing data, selecting evidence and developing and justifying conclusions, they identify alternative explanations for findings and explain any sources of uncertainty. Students evaluate the validity and reliability of claims made in secondary sources with reference to currently held scientific views, the quality of the methodology and the evidence cited. They construct evidence-based arguments and select appropriate representations and text types to communicate science ideas for specific purposes."
Health and Physical Education,Health and Physical Education,,,Foundation Year,"By the end of Foundation Year, students recognise how they are growing and changing. They identify and describe the different emotions people experience. They identify actions that help them be healthy, safe and physically active. They identify different settings where they can be active and demonstrate how to move and play safely. They describe how their body responds to movement.
Students use personal and social skills when working with others in a range of activities. They demonstrate, with guidance, practices and protective behaviours to keep themselves safe and healthy in different activities. They perform fundamental movement skills and solve movement challenges."
Health and Physical Education,Health and Physical Education,,,Years 1 and 2,"By the end of Year 2, students describe changes that occur as they grow older. They recognise how strengths and achievements contribute to identities. They identify how emotional responses impact on others&rsquo; feelings. They examine messages related to health decisions and describe how to keep themselves and others healthy, safe and physically active. They identify areas where they can be active and how the body reacts to different physical activities.
Students demonstrate positive ways to interact with others. They select and apply strategies to keep themselves healthy and safe and are able to ask for help with tasks or problems. They demonstrate fundamental movement skills in a variety of movement sequences and situations and test alternatives to solve movement challenges. They perform movement sequences that incorporate the elements of movement."
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"By the end of Year 4, students recognise strategies for managing change. They identify influences that strengthen identities. They investigate how emotional responses vary and understand how to interact positively with others in a variety of situations. Students interpret health messages and discuss the influences on healthy and safe choices. They understand the benefits of being healthy and physically active. They describe the connections they have to their community and identify local resources to support their health, wellbeing, safety and physical activity.
Students apply strategies for working cooperatively and apply rules fairly. They use decision-making and problem-solving skills to select and demonstrate strategies that help them stay safe, healthy and active. They refine fundamental movement skills and apply movement concepts and strategies in a variety of physical activities and to solve movement challenges. They create and perform movement sequences using fundamental movement skills and the elements of movement."
