LearningArea,Subject,Pathway,Sequence,Level,Strand,Substrand,CdCode,ContentDesc,CCP
English,English,,,Year 1,Language,Text structure and organisation,ACELA1449,"Recognise that different types of punctuation, including full stops, question marks and exclamation marks, signal sentences that make statements, ask questions, express emotion or give commands",
English,English,,,Year 1,Language,Text structure and organisation,ACELA1450,"Understand concepts about print and screen, including how different types of texts are organised using page numbering, tables of content, headings and titles, navigation buttons, bars and links",
English,English,,,Year 1,Language,Expressing and developing ideas,ACELA1451,"Identify the parts of a simple sentence that represent &lsquo;What&rsquo;s happening?&rsquo;, &lsquo;What state is being described?&rsquo;, &lsquo;Who or what is involved?&rsquo; and the surrounding circumstances",
English,English,,,Year 1,Language,Expressing and developing ideas,ACELA1452,"Explore differences in words that represent people, places and things (nouns, including pronouns), happenings and states (verbs), qualities (adjectives) and details such as when, where and how (adverbs)",
English,English,,,Year 1,Language,Expressing and developing ideas,ACELA1453,Compare different kinds of images in narrative and informative texts and discuss how they contribute to meaning,
English,English,,,Year 1,Language,Expressing and developing ideas,ACELA1454,"Understand the use of vocabulary in everyday contexts as well as a growing number of school contexts, including appropriate use of formal and informal terms of address in different contexts",
English,English,,,Year 1,Language,Phonics and word knowledge,ACELA1457,"Manipulate phonemes in spoken words by addition, deletion and substitution of initial, medial and final phonemes to generate new words",
English,English,,,Year 1,Language,Phonics and word knowledge,ACELA1458,"Use short vowels, common long vowels, consonant digraphs and consonant blends when writing, and blend these to read single syllable words",
English,English,,,Year 1,Language,Phonics and word knowledge,ACELA1459,Understand that a letter can represent more than one sound and that a syllable must contain a vowel sound,
English,English,,,Year 1,Language,Phonics and word knowledge,ACELA1778,Understand how to spell one and two syllable words with common letter patterns,
English,English,,,Year 1,Language,Phonics and word knowledge,ACELA1455,Recognise and know how to use simple grammatical morphemes to create word families,
English,English,,,Year 1,Language,Phonics and word knowledge,ACELA1821,Use visual memory to read and write high-frequency words&nbsp;,
English,English,,,Year 1,Language,Phonics and word knowledge,ACELA1822,Segment consonant blends or clusters into separate phonemes at the beginnings and ends of one syllable words,
English,English,,,Year 1,Literature,Literature and context,ACELT1581,Discuss how authors create characters using language and images,
English,English,,,Year 1,Literature,Responding to literature,ACELT1582,"Discuss characters and events in a range of literary texts and share personal responses to these texts, making connections with students' own experiences",
English,English,,,Year 1,Literature,Responding to literature,ACELT1583,Express preferences for specific texts and authors and listen to the opinions of others,
English,English,,,Year 1,Literature,Examining literature,ACELT1584,"Discuss features of plot, character and setting in different types of  literature and explore some features of characters in different texts",
English,English,,,Year 1,Literature,Examining literature,ACELT1585,"Listen to, recite and perform poems, chants, rhymes and songs, imitating and inventing sound patterns including alliteration and rhyme",
English,English,,,Year 1,Literature,Creating literature,ACELT1586,"Recreate texts imaginatively using drawing, writing, performance and digital forms of communication",
English,English,,,Year 1,Literature,Creating literature,ACELT1832,"Innovate on familiar texts by using similar characters, repetitive patterns or vocabulary",
English,English,,,Year 1,Literacy,Texts in context,ACELY1655,Respond to texts drawn from a range of cultures and experiences,
English,English,,,Year 1,Literacy,Interacting with others,ACELY1656,"Engage in conversations and discussions, using active listening  behaviours, showing interest, and contributing ideas, information and questions",
English,English,,,Year 1,Literacy,Interacting with others,ACELY1788,"Use interaction skills including turn-taking, recognising the contributions of others, speaking clearly and using appropriate volume and pace",
English,English,,,Year 1,Literacy,Interacting with others,ACELY1657,"Make short presentations using some introduced text structures and language, for example opening statements",
English,English,,,Year 1,Literacy,"Interpreting, analysing, evaluating",ACELY1658,Describe some differences between imaginative informative  and persuasive texts,
English,English,,,Year 1,Literacy,"Interpreting, analysing, evaluating",ACELY1659,"Read decodable and predictable texts using developing phrasing, fluency, contextual, semantic, grammatical and phonic knowledge and emerging text processing strategies, for example prediction, monitoring meaning and re-reading",
English,English,,,Year 1,Literacy,"Interpreting, analysing, evaluating",ACELY1660,"Use comprehension strategies to build literal and inferred meaning about key events, ideas and information in texts that they listen to, view and read by drawing on growing knowledge of context, text structures and language features",
English,English,,,Year 1,Literacy,Creating texts,ACELY1661,"Create short imaginative and informative texts that show emerging use of appropriate text structure, sentence-level grammar, word choice, spelling, punctuation and appropriate multimodal elements, for example illustrations and diagrams",
English,English,,,Year 1,Literacy,Creating texts,ACELY1662,"Re-read student’s own texts and discuss possible changes to improve meaning, spelling and punctuation",
English,English,,,Year 1,Literacy,Creating texts,ACELY1663,Write using unjoined lower case and upper case letters,
English,English,,,Year 1,Literacy,Creating texts,ACELY1664,Construct texts that incorporate supporting images using software including word processing programs,
English,English,,,Year 2,Language,Language variation and change,ACELA1460,"Understand that spoken, visual and written forms of language are different modes of communication with different features and their use varies according to the audience, purpose, context and cultural background",
English,English,,,Year 2,Language,Language for interaction,ACELA1461,Understand that language varies when people take on different roles in social and classroom interactions and how the use of key interpersonal language resources varies depending on context,
English,English,,,Year 2,Language,Language for interaction,ACELA1462,Identify language that can be used for appreciating texts and the qualities of people and things,
English,English,,,Year 2,Language,Text structure and organisation,ACELA1463,Understand that different types of texts have identifiable text structures and language features that help the text serve its purpose,
English,English,,,Year 2,Language,Text structure and organisation,ACELA1464,"Understand how texts are made cohesive through language features, including word associations, synonyms, and antonyms",
English,English,,,Year 2,Language,Text structure and organisation,ACELA1465,Recognise that capital letters signal proper nouns and commas are used to separate items in lists,
English,English,,,Year 2,Language,Text structure and organisation,ACELA1466,"Know some features of text organisation including page and screen layouts, alphabetical order, and different types of diagrams, for example timelines",
English,English,,,Year 2,Language,Expressing and developing ideas,ACELA1467,Understand that simple connections can be made between ideas by using a compound sentence with two or more clauses usually linked by a coordinating conjunction,
English,English,,,Year 2,Language,Expressing and developing ideas,ACELA1468,"Understand that nouns represent people, places, concrete objects and abstract concepts; that there are three types of nouns: common, proper and pronouns; and that noun groups/phrases can be expanded using articles and adjectives",
English,English,,,Year 2,Language,Expressing and developing ideas,ACELA1469,"Identify visual representations of characters’ actions, reactions, speech and thought processes in  narratives, and consider how these images  add to or contradict or multiply the meaning of accompanying words",
English,English,,,Year 2,Language,Expressing and developing ideas,ACELA1470,Understand the use of vocabulary about familiar and new topics and experiment with and begin to make conscious choices of vocabulary to suit audience and purpose,
English,English,,,Year 2,Language,Phonics and word knowledge,ACELA1474,"Orally manipulate more complex sounds in spoken words through knowledge of blending and segmenting sounds, phoneme deletion and substitution in combination with use of letters in reading and writing",
English,English,,,Year 2,Language,Phonics and word knowledge,ACELA1471,"Understand how to use knowledge of digraphs, long vowels, blends and silent letters to spell one and two syllable words including some compound words",
English,English,,,Year 2,Language,Phonics and word knowledge,ACELA1472,Build morphemic word families using knowledge of prefixes and suffixes,
English,English,,,Year 2,Language,Phonics and word knowledge,ACELA1823,Use knowledge of letter patterns and morphemes to read and write high-frequency words and words whose spelling is not predictable from their sounds,
English,English,,,Year 2,Language,Phonics and word knowledge,ACELA1824,"Use most letter-sound matches including vowel digraphs, less common long vowel patterns, letter clusters and silent letters when reading and writing words of one or more syllable",
English,English,,,Year 2,Language,Phonics and word knowledge,ACELA1825,Understand that a sound can be represented by various letter combinations,
English,English,,,Year 2,Literature,Literature and context,ACELT1587,"Discuss how depictions of characters in print, sound and images reflect the contexts in which they were created",
English,English,,,Year 2,Literature,Responding to literature,ACELT1589,"Compare opinions about characters, events and settings in and between texts",
English,English,,,Year 2,Literature,Responding to literature,ACELT1590,"Identify aspects of different types of literary texts that entertain, and give reasons for personal preferences",
English,English,,,Year 2,Literature,Examining literature,ACELT1591,Discuss the characters and settings of different texts and explore how language is used to present these features in different ways,
English,English,,,Year 2,Literature,Examining literature,ACELT1592,"Identify, reproduce and experiment with rhythmic, sound and word patterns in poems, chants, rhymes and songs",
English,English,,,Year 2,Literature,Creating literature,ACELT1593,Create events and characters using different media that develop key events and characters from literary texts,
English,English,,,Year 2,Literature,Creating literature,ACELT1833,"Innovate on familiar texts by experimenting with character, setting or plot",
English,English,,,Year 2,Literacy,Texts in context,ACELY1665,"Discuss different texts on a similar topic, identifying similarities and differences between the texts",
English,English,,,Year 2,Literacy,Interacting with others,ACELY1666,"Listen for specific purposes and information, including instructions, and extend students’ own and others' ideas in discussions",
English,English,,,Year 2,Literacy,Interacting with others,ACELY1789,"Use interaction skills including initiating topics, making positive statements and voicing disagreement in an appropriate manner, speaking clearly and varying tone, volume and pace appropriately",
English,English,,,Year 2,Literacy,Interacting with others,ACELY1667,Rehearse and deliver short presentations on familiar and new topics,
English,English,,,Year 2,Literacy,"Interpreting, analysing, evaluating",ACELY1668,"Identify the audience of imaginative, informative and persuasive texts",
English,English,,,Year 2,Literacy,"Interpreting, analysing, evaluating",ACELY1669,"Read less predictable texts with phrasing and fluency by combining contextual, semantic, grammatical and phonic knowledge using text processing strategies, for example monitoring meaning, predicting, rereading and self-correcting",
English,English,,,Year 2,Literacy,"Interpreting, analysing, evaluating",ACELY1670,"Use comprehension strategies to build literal and inferred meaning and begin to analyse texts by drawing on growing knowledge of context, language and visual features and print and multimodal text structures",
English,English,,,Year 2,Literacy,Creating texts,ACELY1671,"Create short imaginative, informative and persuasive texts using growing knowledge of text structures and language features for familiar and some less familiar audiences, selecting print and multimodal elements appropriate to the audience and purpose",
English,English,,,Year 2,Literacy,Creating texts,ACELY1672,"Re-read and edit text for spelling, sentence-boundary punctuation and text structure",
English,English,,,Year 2,Literacy,Creating texts,ACELY1673,Write legibly and with growing fluency using unjoined upper case and lower case letters,
English,English,,,Year 2,Literacy,Creating texts,ACELY1674,"Construct texts featuring print, visual and audio elements using software, including word processing programs",
English,English,,,Year 3,Language,Language variation and change,ACELA1475,"Understand that languages have different written and visual communication systems, different oral traditions and different ways of constructing meaning",
English,English,,,Year 3,Language,Language for interaction,ACELA1476,"Understand that successful  cooperation with others depends on shared use of social conventions, including turn-taking patterns, and forms of address that vary according to the degree of formality in social situations",
English,English,,,Year 3,Language,Language for interaction,ACELA1477,Examine how evaluative language can be varied to be more or less forceful,
English,English,,,Year 3,Language,Text structure and organisation,ACELA1478,"Understand how different types of texts vary in use of language choices, depending on their purpose and context (for example, tense and types of sentences)",
English,English,,,Year 3,Language,Text structure and organisation,ACELA1479,Understand that paragraphs are a key organisational feature of written texts,
English,English,,,Year 3,Language,Text structure and organisation,ACELA1480,Know that word contractions are a feature of informal language and that apostrophes of contraction are used to signal missing letters,
English,English,,,Year 3,Language,Text structure and organisation,ACELA1790,Identify the features of online texts that enhance navigation,
English,English,,,Year 3,Language,Expressing and developing ideas,ACELA1481,Understand that a clause is a unit of grammar usually containing a subject and a verb and that these need to be in agreement,
English,English,,,Year 3,Language,Expressing and developing ideas,ACELA1482,"Understand that verbs represent different processes, for example&nbsp;doing, thinking, saying, and relating and that these processes are anchored in time through tense",
English,English,,,Year 3,Language,Expressing and developing ideas,ACELA1483,"Identify the effect on audiences of techniques, for example shot size, vertical camera angle and layout in picture books, advertisements and film segments",
English,English,,,Year 3,Language,Expressing and developing ideas,ACELA1484,Learn extended and technical vocabulary and ways of expressing opinion including modal verbs and adverbs,
English,English,,,Year 3,Language,Phonics and word knowledge,ACELA1485,Understand how to use letter-sound relationships and less common letter patterns to spell words,
English,English,,,Year 3,Language,Phonics and word knowledge,ACELA1486,Recognise and know how to write most high frequency words including some homophones,
English,English,,,Year 3,Language,Phonics and word knowledge,ACELA1826,"Understand how to apply knowledge of letter-sound relationships, syllables, and blending and segmenting to fluently read and write multisyllabic words with more complex letter patterns",
English,English,,,Year 3,Language,Phonics and word knowledge,ACELA1827,"Know how to use common prefixes and suffixes, and generalisations for adding a suffix to a base word",
English,English,,,Year 3,Literature,Literature and context,ACELT1594,"Discuss texts in which characters, events and settings are portrayed in different ways, and speculate on the authors’ reasons",
English,English,,,Year 3,Literature,Responding to literature,ACELT1596,"Draw connections between personal experiences and the worlds of texts, and share responses with others",
English,English,,,Year 3,Literature,Responding to literature,ACELT1598,Develop criteria for establishing personal preferences for literature,
English,English,,,Year 3,Literature,Examining literature,ACELT1599,"Discuss how language is used to describe the settings in texts, and explore how the settings shape the events and influence the mood of the narrative",
English,English,,,Year 3,Literature,Examining literature,ACELT1600,"Discuss the nature and effects of some language devices used to enhance meaning and shape the reader’s reaction, including rhythm and onomatopoeia in poetry and prose",
English,English,,,Year 3,Literature,Creating literature,ACELT1601,"Create imaginative texts based on characters, settings and events from students’ own and other cultures using visual features, for example perspective, distance and angle",
English,English,,,Year 3,Literature,Creating literature,ACELT1791,"Create texts that adapt language features and patterns encountered in literary texts, for example characterisation, rhyme, rhythm, mood, music, sound effects and dialogue",
English,English,,,Year 3,Literacy,Texts in context,ACELY1675,Identify the point of view in a text and suggest alternative points of view,
English,English,,,Year 3,Literacy,Interacting with others,ACELY1676,Listen to and contribute to conversations and discussions to share information and ideas and negotiate in collaborative situations,
English,English,,,Year 3,Literacy,Interacting with others,ACELY1792,"Use interaction skills, including active listening behaviours and communicate in a clear, coherent manner using a variety of everyday and learned vocabulary and appropriate tone, pace, pitch and volume",
English,English,,,Year 3,Literacy,Interacting with others,ACELY1677,"Plan and deliver short presentations, providing some key details in logical sequence",
English,English,,,Year 3,Literacy,"Interpreting, analysing, evaluating",ACELY1678,"Identify the audience and purpose of imaginative, informative and persuasive texts",
English,English,,,Year 3,Literacy,"Interpreting, analysing, evaluating",ACELY1679,"Read an increasing range of different types of texts by combining contextual, semantic, grammatical and phonic knowledge, using text processing strategies, for example monitoring, predicting, confirming, rereading, reading on and self-correcting",
English,English,,,Year 3,Literacy,"Interpreting, analysing, evaluating",ACELY1680,"Use comprehension strategies to build literal and inferred meaning and begin to evaluate texts by drawing on a growing knowledge of context, text structures and language features",
English,English,,,Year 3,Literacy,Creating texts,ACELY1682,"Plan, draft and publish imaginative, informative and persuasive texts demonstrating increasing control over text structures and language features and selecting print,and multimodal elements appropriate to the audience and purpose",
English,English,,,Year 3,Literacy,Creating texts,ACELY1683,"Re-read and edit texts for meaning, appropriate structure, grammatical choices and punctuation",
English,English,,,Year 3,Literacy,Creating texts,ACELY1684,Write using joined letters that are clearly formed and consistent in size,
English,English,,,Year 3,Literacy,Creating texts,ACELY1685,"Use software including word processing programs with growing speed and efficiency to construct and edit texts featuring visual, print and audio elements",
English,English,,,Year 4,Language,Language variation and change,ACELA1487,"Understand that Standard Australian English is one of many social dialects used in Australia, and that while it originated in England it has been influenced by many other languages",
English,English,,,Year 4,Language,Language for interaction,ACELA1488,"Understand that social interactions influence the way people engage with ideas and respond to others for example when exploring and clarifying the ideas of others, summarising their own views and reporting them to a larger group",
English,English,,,Year 4,Language,Language for interaction,ACELA1489,Understand differences between the language of opinion and feeling and the language of factual reporting or recording,
English,English,,,Year 4,Language,Text structure and organisation,ACELA1490,"Understand how texts vary in complexity and technicality depending on the approach to the topic, the purpose and the intended audience",
English,English,,,Year 4,Language,Text structure and organisation,ACELA1491,Understand how texts are made cohesive through the use of linking devices including pronoun reference and text connectives,
English,English,,,Year 4,Language,Text structure and organisation,ACELA1492,"Recognise how quotation marks are used in texts to signal dialogue, titles and quoted (direct) speech",
English,English,,,Year 4,Language,Text structure and organisation,ACELA1793,"Identify features of online texts that enhance readability including text, navigation, links, graphics and layout",
English,English,,,Year 4,Language,Expressing and developing ideas,ACELA1493,Understand that the meaning of sentences can be enriched through the use of noun groups/phrases and verb groups/phrases and prepositional phrases,
English,English,,,Year 4,Language,Expressing and developing ideas,ACELA1494,Investigate how quoted (direct) and reported (indirect) speech work in different types of text,
English,English,,,Year 4,Language,Expressing and developing ideas,ACELA1495,Understand how adverb groups/phrases and prepositional phrases work in different ways to provide circumstantial details about an activity,
English,English,,,Year 4,Language,Expressing and developing ideas,ACELA1496,"Explore the effect of choices when framing an image, placement of elements in the image, and salience on composition of still and moving images in a range of types of texts",
English,English,,,Year 4,Language,Expressing and developing ideas,ACELA1498,Incorporate new vocabulary from a range of sources into students’ own texts including vocabulary encountered in research,
English,English,,,Year 4,Language,Phonics and word knowledge,ACELA1779,"Understand how to use knowledge of letter patterns including double letters, spelling generalisations, morphemic word families, common prefixes and suffixes and word origins to spell more complex words",
English,English,,,Year 4,Language,Phonics and word knowledge,ACELA1780,Read and write a large core of high frequency words including homophones and know how to use context to identify correct spelling,
English,English,,,Year 4,Language,Phonics and word knowledge,ACELA1828,"Understand how to use phonic knowledge to read and write multisyllabic words with more complex letter combinations, including a variety of vowel sounds and known prefixes and suffixes",
English,English,,,Year 4,Literature,Literature and context,ACELT1602,"Make connections between the ways different authors may represent similar storylines, ideas and relationships",
English,English,,,Year 4,Literature,Responding to literature,ACELT1603,"Discuss literary experiences with others, sharing responses and expressing a point of view",
English,English,,,Year 4,Literature,Responding to literature,ACELT1604,"Use metalanguage to describe the effects of ideas, text structures and language features of literary texts",
English,English,,,Year 4,Literature,Examining literature,ACELT1605,"Discuss how authors and illustrators make stories exciting, moving and absorbing and hold readers’ interest by using various techniques, for example character development and plot tension",
English,English,,,Year 4,Literature,Examining literature,ACELT1606,"Understand, interpret and experiment with a range of devices and deliberate word play in poetry and other literary texts, for example nonsense words, spoonerisms, neologisms and puns",
English,English,,,Year 4,Literature,Creating literature,ACELT1607,Create literary texts that explore students’ own experiences and imagining,
English,English,,,Year 4,Literature,Creating literature,ACELT1794,"Create literary texts by developing storylines, characters and settings",
English,English,,,Year 4,Literacy,Texts in context,ACELY1686,"Identify and explain language features of texts from earlier times and compare with the vocabulary, images, layout and content of contemporary texts",
English,English,,,Year 4,Literacy,Interacting with others,ACELY1687,Interpret ideas and information in spoken texts and listen for key points in order to carry out tasks and use information to share and extend ideas and information,
English,English,,,Year 4,Literacy,Interacting with others,ACELY1688,"Use interaction skills such as acknowledging another’s point of view and linking students’ response to the topic, using familiar and new vocabulary and a range of vocal effects such as tone, pace, pitch and volume to speak clearly and coherently",
English,English,,,Year 4,Literacy,Interacting with others,ACELY1689,"Plan, rehearse and deliver presentations incorporating learned content and taking into account the particular purposes and audiences",
English,English,,,Year 4,Literacy,"Interpreting, analysing, evaluating",ACELY1690,"Identify characteristic features used in imaginative, informative and persuasive texts to meet the purpose of the text",
English,English,,,Year 4,Literacy,"Interpreting, analysing, evaluating",ACELY1691,"Read different types of texts by combining contextual , semantic, grammatical  and phonic knowledge using text processing strategies for example monitoring meaning, cross checking and reviewing",
English,English,,,Year 4,Literacy,"Interpreting, analysing, evaluating",ACELY1692,"Use comprehension strategies to build literal and inferred meaning to expand content knowledge, integrating and linking ideas and analysing  and evaluating texts",
English,English,,,Year 4,Literacy,Creating texts,ACELY1694,"Plan, draft and publish imaginative, informative and persuasive texts containing key information and supporting details for a widening range of audiences, demonstrating increasing control over text structures and language features",
English,English,,,Year 4,Literacy,Creating texts,ACELY1695,"Re-read and edit for meaning by adding, deleting or moving words or word groups to improve content and structure",
English,English,,,Year 4,Literacy,Creating texts,ACELY1696,"Write using clearly-formed joined letters, and develop increased fluency and automaticity",
English,English,,,Year 4,Literacy,Creating texts,ACELY1697,"Use a range of software including word processing programs to construct, edit and publish written text, and select, edit and place visual, print and audio elements",
English,English,,,Year 5,Language,Language variation and change,ACELA1500,"Understand that the pronunciation, spelling and meanings of words have histories and change over time",
English,English,,,Year 5,Language,Language for interaction,ACELA1501,Understand that patterns of language interaction vary across social contexts and types of texts and that they help to signal social roles and relationships,
English,English,,,Year 5,Language,Language for interaction,ACELA1502,Understand how to move beyond making bare assertions and take account of differing perspectives and points of view,
English,English,,,Year 5,Language,Text structure and organisation,ACELA1504,"Understand how texts vary in purpose, structure and topic as well as the degree of formality",
English,English,,,Year 5,Language,Text structure and organisation,ACELA1505,Understand that the starting point of a sentence gives prominence to the message in the text and allows for prediction of how the text will unfold,
English,English,,,Year 5,Language,Text structure and organisation,ACELA1506,Understand how the grammatical category of possessives is signalled through apostrophes and how to use apostrophes with common and proper nouns,
English,English,,,Year 5,Language,Text structure and organisation,ACELA1797,"Investigate how the organisation of texts into chapters, headings, subheadings, home pages and sub pages for online texts and according to chronology or topic can be used to predict content and assist navigation",
English,English,,,Year 5,Language,Expressing and developing ideas,ACELA1507,Understand the difference between main and subordinate clauses and that a complex sentence involves at least one subordinate clause,
English,English,,,Year 5,Language,Expressing and developing ideas,ACELA1508,"Understand how noun groups/phrases and adjective groups/phrases can be expanded in a variety of ways to provide a fuller description of the person, place, thing or idea",
English,English,,,Year 5,Language,Expressing and developing ideas,ACELA1511,"Explain sequences of images in print texts and compare these to the ways hyperlinked digital texts are organised, explaining their effect on viewers’ interpretations",
English,English,,,Year 5,Language,Expressing and developing ideas,ACELA1512,"Understand the use of vocabulary to express greater precision of meaning, and know that words can have different meanings in different contexts",
English,English,,,Year 5,Language,Phonics and word knowledge,ACELA1513,"Understand how to use knowledge of known words, base words, prefixes and suffixes, word origins, letter patterns and spelling generalisations to spell new words",
English,English,,,Year 5,Language,Phonics and word knowledge,ACELA1514,"Explore less common plurals, and understand how a suffix changes the meaning or grammatical form of a word",
English,English,,,Year 5,Language,Phonics and word knowledge,ACELA1829,Understand how to use phonic knowledge to read and write less familiar words that share common letter patterns but have different pronunciations&nbsp;,
English,English,,,Year 5,Literature,Literature and context,ACELT1608,"Identify aspects of literary texts that convey details or information about particular social, cultural and historical contexts",
English,English,,,Year 5,Literature,Responding to literature,ACELT1609,"Present a point of view about particular literary texts using appropriate metalanguage, and reflecting on the viewpoints of others",
English,English,,,Year 5,Literature,Responding to literature,ACELT1795,"Use metalanguage to describe the effects of ideas, text structures and language features on particular audiences",
English,English,,,Year 5,Literature,Examining literature,ACELT1610,"Recognise that ideas in literary texts can be conveyed from different viewpoints, which can lead to different kinds of interpretations and responses",
English,English,,,Year 5,Literature,Examining literature,ACELT1611,"Understand, interpret and experiment with sound devices and imagery, including simile, metaphor and personification, in narratives, shape poetry, songs, anthems and odes",
English,English,,,Year 5,Literature,Creating literature,ACELT1612,Create literary texts using realistic and fantasy settings and characters that draw on the worlds represented in texts students have experienced,
English,English,,,Year 5,Literature,Creating literature,ACELT1798,"Create literary texts that experiment with structures, ideas and stylistic features of selected authors",
English,English,,,Year 5,Literacy,Texts in context,ACELY1698,"Show how ideas and points of view in texts are conveyed through the use of vocabulary, including idiomatic expressions, objective and subjective language, and that these can change according to context",
